witnessbox;1
follow;2
tuesday;3
person;4
here;5
chaplain;6
really;7
life;8
seemed;9
turned;10
place;11
old;12
will;13
like;14
where;15
shall;16
more;17
or;18
than;19
can;20
do;21
them;22
come;23
over;24
any;25
some;27
they;28
if;29
us;32
up;33
what;34
then;35
out;36
no;37
said;38
has;39
so;40
our;41
when;44
her;46
all;48
not;51
been;52
this;54
me;55
one;58
but;60
at;69
have;79
for;82
which;83
with;87
my;88
as;97
is;102
you;103
his;111
we;115
had;138
it;178
he;182
;183
that;190
in;207
i;210
a;261
to;276
of;334
and;374
the;727
